noun,frequency,score
admiral,-5.70659139565147,0.7999999999999999
advice columnist,-7.687863294715135,0.2833333333333334
aerobics instructor,-7.804766631140143,0.1958333333333333
air stewardess,-8.086316521638764,0.1125
air traffic controller,-7.052082382727644,0.7458333333333332
allergist,-7.217613982881697,0.5083333333333333
animal caretaker,-8.44404421732768,0.44166666666666665
antique dealer,-7.303085243470186,0.41250000000000003
architect,-5.100475589954178,0.7208333333333333
artisan,-5.95157033351987,0.5583333333333332
artist,-4.60486784296821,0.4875
assistant,-4.769573050864056,0.3958333333333333
astrologist,-7.952885808383701,0.5583333333333332
astronaut,-6.066560755743308,0.7916666666666666
astronomer,-5.910918861577579,0.6333333333333333
athlete,-5.333535798394739,0.6541666666666667
attorney,-4.60453098399674,0.5625
auctioneer,-6.191350796821423,0.7791666666666667
author,-4.1372230139856185,0.4875
auto mechanic,-7.16607319661348,0.9208333333333334
aviator,-6.362022297614434,0.75
babysitter,-6.1912558011708745,0.15
baker,-5.862692006811145,0.41250000000000003
ballerina,-6.356693208688054,0.09583333333333333
ballet dancer,-6.89062362655806,0.08749999999999998
bank teller,-6.909475308024929,0.3333333333333333
banker,-5.517681696807846,0.6625
barber,-5.795515766469303,0.8875000000000001
bartender,-5.670382214819894,0.6791666666666667
baseball player,-6.480869294168615,0.9
basketball player,-6.501504108306279,0.6749999999999999
baton twirler,-8.430255182203203,0.06666666666666665
beautician,-6.965389040923332,0.11666666666666665
bell hop,-8.351514560977767,0.775
bellboy,-7.02215997806001,0.9249999999999999
biker,-6.19125952209294,0.6875
bookkeeper,-6.308678114057905,0.33749999999999997
boss,-4.838413388464766,0.7166666666666667
boutique owner,-8.216213183858654,0.18333333333333335
bowler,-6.20854947452007,0.65
boxer,-5.871537778636696,0.875
building contractor,-7.026760749385858,0.8208333333333333
butcher,-5.592339457898216,0.8375
butler,-5.690969851465292,0.9458333333333333
caddy,-6.698094320018523,0.7958333333333334
cake decorator,-8.25259258384674,0.23749999999999996
