Li0.91Hf2.022(PO4)3,10.1021/cm970078n
Li3BiO3,10.1016/j.ssi.2015.10.016
Li5BiO5 ,10.1016/j.ssi.2015.10.016
Li7.22Si1.5P0.5O8 ,10.1021/jacs.5b04444
LiYO2 ,10.1016/0167-2738(81)90021-7
Li6Zr2O7 ,10.3103/S1062873810050199 
La0.62Li0.14TiO3 ,10.1016/S0167-2738(00)00761-X
Li0.2Na0.3La0.5Nb2O6 ,10.1134/S002016851103006X
Li0.02Na0.48La0.5Nb2O6 ,10.1134/S002016851103006X
Li0.2Ca0.4TaO3 ,10.1016/j.solidstatesciences.2004.05.006
Li2.5Zn0.25PS4 ,10.1021/acs.chemmater.7b05108
(Li0.5Ce0.25Pr0.25)(MoO4) ,10.1007/s12039-011-0068-5
Li0.33La0.56Ti0.99Al0.01O2.99F0.01   ,10.1007/s11581-006-0011-9
Li0.33La0.56Ti0.98Al0.02O2.98F0.02,10.1007/s11581-006-0011-9
Li0.33La0.56Ti0.97Al0.03O2.97F0.03,10.1007/s11581-006-0011-9
Li0.33La0.56Ti0.95Al0.05O2.95F0.05,10.1007/s11581-006-0011-9
Li0.33La0.56Ti0.94Al0.06O2.94F0.06,10.1007/s11581-006-0011-9
Li0.33La0.56Ti0.93Al0.07O2.93F0.07,10.1007/s11581-006-0011-9
Li0.33La0.56Ti0.92Al0.08O2.92F0.08,10.1007/s11581-006-0011-9
La0.65Li0.05(Mg0.5W0.5)O3 ,10.1016/j.ssi.2004.05.010
La0.63Li0.11(Mg0.5W0.5)O3,10.1016/j.ssi.2004.05.010
La0.62 Li0.14(Mg0.5W0.5)O3,10.1016/j.ssi.2004.05.010
Li3BiO4,10.1016/j.ssi.2015.10.016
Li3.425Si0.425P0.575S4 ,10.1039/C4FD00143E 
Li10.35(Sn0.2Si0.8)1.35P1.65S12 ,10.1021/acs.chemmater.7b00886
Li3AlH6 ,10.1063/1.3356981
Li1.1Al0.1Ti1.9(PO4)3 ,10.1016/j.ssi.2014.07.018
Li1.3Al0.3Ti1.7(PO4)3,10.1016/j.ssi.2014.07.018
Li1.2Cr0.2Ti1.8(PO4)3,10.1016/j.ssi.2014.07.018
Li1.3Cr0.3Ti1.7(PO4)3,10.1016/j.ssi.2014.07.018
Li1.6Al0.6Ti1.4(PO4)3,10.1016/S0955-2219(99)00055-2
Li6PS5Cl0.5Br0.5 ,10.1021/jacs.7b06327
Li6PS5Br0.25I0.75,10.1021/jacs.7b06327
Li6.1P0.95Si0.1S5Br,10.1039/C7TA08581H
Li6P(S4.8Se0.2)Br ,10.1021/acs.inorgchem.8b02443
Li6.1P0.90Ge0.1S5I ,10.1021/jacs.8b10282
Li6.15P0.85Ge0.15S5I,10.1021/jacs.8b10282
Li6.2P0.8Ge0.2S5I,10.1021/jacs.8b10282
Li6.25P0.75Ge0.25S5I,10.1021/jacs.8b10282
Li6.3P0.7Ge0.3S5I,10.1021/jacs.8b10282
Li6.7P0.3Ge0.7S5I,10.1021/jacs.8b10282
Li5PS4(BH4)2  ,10.1021/acsomega.8b00377
Fe0.16La2.95Li5.68Zr2O12 ,10.1021/acs.chemmater.6b02516
Li2(OH)0.9F0.1Cl ,10.1002/anie.201604554
(La0.6Li0.4)(Ti0.8Al0.2)O3 ,10.1016/j.jallcom.2017.05.278
Li(Li0.34Ti1.66)O4 ,10.1016/j.ssi.2010.06.003
Li2MgCl4 ,10.1016/0167-2738(83)90223-0
Li5.5Ba0.5La2.5Ta2O12 ,10.1007/s11581-007-0097-8
Li6.75Ba1.75La1.25Ta2O12,10.1007/s11581-007-0097-8
Li7Ba2LaTa2O12,10.1007/s11581-007-0097-8
(Li6.26Al0.24)La3Zr2O12 ,10.1016/j.ssi.2015.04.011
Li5.90La3Ta1.55Sm0.45O12 ,10.1021/acs.inorgchem.7b00816
Li6.10La3Ta1.45Sm0.55O12 ,10.1021/acs.inorgchem.7b00816
Li6.5La2.95Ba0.05Zr1.45Ta0.55O12 ,10.3389/fenrg.2016.00028
Li6.5La2.8Ba0.2Zr1.3Ta0.7O12 ,10.3389/fenrg.2016.00028
Li6.5La2.7Ba0.3Zr1.2Ta0.8O12 ,10.3389/fenrg.2016.00028
